id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year,text_chunk
335982,2007/08,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,223.0,20.0,N,Normal,Asad Rauf,RE Koertzen,2008,"IPL Match | Season: 2007/08
Teams: Royal Challengers Bengaluru vs Kolkata Knight Riders
Date: 18 April 2008 | Venue: M Chinnaswamy Stadium, Bangalore
Toss: Royal Challengers Bengaluru won the toss and chose to field
Result: Kolkata Knight Riders won by 140 runs
Player of the Match: BB McCullum
Method: Normal | Match Type: League"
335983,2007/08,Chandigarh,2008-04-19,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,241.0,20.0,N,Normal,MR Benson,SL Shastri,2008,"IPL Match | Season: 2007/08
Teams: Punjab Kings vs Chennai Super Kings
Date: 19 April 2008 | Venue: Punjab Cricket Association Stadium, Mohali, Chandigarh
Toss: Chennai Super Kings won the toss and chose to bat
Result: Chennai Super Kings won by 33 runs
Player of the Match: MEK Hussey
Method: Normal | Match Type: League"
335984,2007/08,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,130.0,20.0,N,Normal,Aleem Dar,GA Pratapkumar,2008,"IPL Match | Season: 2007/08
Teams: Delhi Capitals vs Rajasthan Royals
Date: 19 April 2008 | Venue: Feroz Shah Kotla, Delhi
Toss: Rajasthan Royals won the toss and chose to bat
Result: Delhi Capitals won by 9 wickets
Player of the Match: MF Maharoof
Method: Normal | Match Type: League"
335985,2007/08,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,166.0,20.0,N,Normal,SJ Davis,DJ Harper,2008,"IPL Match | Season: 2007/08
Teams: Mumbai Indians vs Royal Challengers Bengaluru
Date: 20 April 2008 | Venue: Wankhede Stadium, Mumbai
Toss: Mumbai Indians won the toss and chose to bat
Result: Royal Challengers Bengaluru won by 5 wickets
Player of the Match: MV Boucher
Method: Normal | Match Type: League"
335986,2007/08,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,111.0,20.0,N,Normal,BF Bowden,K Hariharan,2008,"IPL Match | Season: 2007/08
Teams: Kolkata Knight Riders vs Deccan Chargers
Date: 20 April 2008 | Venue: Eden Gardens, Kolkata
Toss: Deccan Chargers won the toss and chose to bat
Result: Kolkata Knight Riders won by 5 wickets
Player of the Match: DJ Hussey
Method: Normal | Match Type: League"
335987,2007/08,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,167.0,20.0,N,Normal,Aleem Dar,RB Tiffin,2008,"IPL Match | Season: 2007/08
Teams: Rajasthan Royals vs Punjab Kings
Date: 21 April 2008 | Venue: Sawai Mansingh Stadium, Jaipur
Toss: Punjab Kings won the toss and chose to bat
Result: Rajasthan Royals won by 6 wickets
Player of the Match: SR Watson
Method: Normal | Match Type: League"
335988,2007/08,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9.0,143.0,20.0,N,Normal,IL Howell,AM Saheba,2008,"IPL Match | Season: 2007/08
Teams: Deccan Chargers vs Delhi Capitals
Date: 22 April 2008 | Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad
Toss: Deccan Chargers won the toss and chose to bat
Result: Delhi Capitals won by 9 wickets
Player of the Match: V Sehwag
Method: Normal | Match Type: League"
335989,2007/08,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,209.0,20.0,N,Normal,DJ Harper,GA Pratapkumar,2008,"IPL Match | Season: 2007/08
Teams: Chennai Super Kings vs Mumbai Indians
Date: 23 April 2008 | Venue: MA Chidambaram Stadium, Chepauk, Chennai
Toss: Mumbai Indians won the toss and chose to field
Result: Chennai Super Kings won by 6 runs
Player of the Match: ML Hayden
Method: Normal | Match Type: League"
335990,2007/08,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,215.0,20.0,N,Normal,Asad Rauf,MR Benson,2008,"IPL Match | Season: 2007/08
Teams: Deccan Chargers vs Rajasthan Royals
Date: 24 April 2008 | Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad
Toss: Rajasthan Royals won the toss and chose to field
Result: Rajasthan Royals won by 3 wickets
Player of the Match: YK Pathan
Method: Normal | Match Type: League"
335991,2007/08,Chandigarh,2008-04-25,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,183.0,20.0,N,Normal,Aleem Dar,AM Saheba,2008,"IPL Match | Season: 2007/08
Teams: Punjab Kings vs Mumbai Indians
Date: 25 April 2008 | Venue: Punjab Cricket Association Stadium, Mohali, Chandigarh
Toss: Mumbai Indians won the toss and chose to field
Result: Punjab Kings won by 66 runs
Player of the Match: KC Sangakkara
Method: Normal | Match Type: League"
